benchmark,suite,compiler,iteration,wall_s,time_wall_s,user_s,sys_s,rss_kb,object_bytes
insertion_sort,embench_style,RISCV,2,0.014187962,0.010000,0.010000,0.000000,60604,1536
insertion_sort,embench_style,RISCV,3,0.014831010,0.010000,0.010000,0.000000,60508,1536
insertion_sort,embench_style,RISCV,4,0.013643818,0.010000,0.010000,0.000000,60760,1536
insertion_sort,embench_style,RISCV,5,0.014547731,0.010000,0.000000,0.000000,60500,1536
insertion_sort,embench_style,RISCV,6,0.014915280,0.010000,0.000000,0.010000,60764,1536
insertion_sort,embench_style,RISCV,7,0.013947188,0.010000,0.000000,0.000000,60636,1536
insertion_sort,embench_style,RISCV,8,0.013773455,0.010000,0.010000,0.000000,60760,1536
insertion_sort,embench_style,RISCV,9,0.014024593,0.010000,0.000000,0.000000,60380,1536
insertion_sort,embench_style,RISCV,10,0.014692566,0.010000,0.000000,0.010000,60636,1536
insertion_sort,embench_style,RISCV,11,0.014304191,0.010000,0.010000,0.000000,60888,1536
insertion_sort,embench_style,RISCV,12,0.015045799,0.010000,0.010000,0.000000,61148,1536
insertion_sort,embench_style,RISCV,13,0.014291007,0.010000,0.010000,0.000000,60892,1536
insertion_sort,embench_style,RISCV,14,0.014387483,0.010000,0.000000,0.000000,60376,1536
insertion_sort,embench_style,RISCV,15,0.014989423,0.010000,0.010000,0.000000,61144,1536
insertion_sort,embench_style,RISCV,16,0.013643465,0.010000,0.010000,0.000000,61148,1536
insertion_sort,embench_style,RISCV,17,0.014458680,0.010000,0.010000,0.000000,60636,1536
insertion_sort,embench_style,RISCV,18,0.014370835,0.010000,0.000000,0.000000,60380,1536
insertion_sort,embench_style,RISCV,19,0.013711835,0.010000,0.010000,0.000000,60636,1536
insertion_sort,embench_style,RISCV,20,0.013872664,0.010000,0.000000,0.010000,60504,1536
insertion_sort,embench_style,RISCV,21,0.014835988,0.010000,0.010000,0.000000,60760,1536
insertion_sort,embench_style,RISCV,22,0.016110602,0.010000,0.000000,0.000000,60252,1536
insertion_sort,embench_style,RISCV,23,0.018117202,0.010000,0.010000,0.000000,61144,1536
insertion_sort,embench_style,RISCV,24,0.017197543,0.010000,0.010000,0.000000,60248,1536
insertion_sort,embench_style,RISCV,25,0.016902431,0.010000,0.000000,0.000000,60124,1536
insertion_sort,embench_style,RISCV,26,0.016313708,0.010000,0.000000,0.000000,60764,1536
insertion_sort,embench_style,RISCV,27,0.014339595,0.010000,0.010000,0.000000,61148,1536
insertion_sort,embench_style,RISCV,28,0.014615364,0.010000,0.010000,0.000000,60632,1536
